onset	duration	trial_type	load_type	processing_stage
1.113	4.28	Frac	High	Cue
5.393	10.025	Frac	High	Encode
15.418	10.002	Frac	High	Maintain
25.42	6.642	Frac	High	Probe
32.062	10.776	Frac	High	Rest
42.838	3.131	Num	High	Cue
45.969	10.034	Num	High	Encode
56.003	10.062	Num	High	Maintain
66.065	4.455	Num	High	Probe
70.52	10.816	Num	High	Rest
81.336	3.09	Frac	Med	Cue
84.426	10.058	Frac	Med	Encode
94.484	10	Frac	Med	Maintain
104.484	5.633	Frac	Med	Probe
110.117	10.804	Frac	Med	Rest
120.921	3.22	Num	Med	Cue
124.141	10.009	Num	Med	Encode
134.15	10.001	Num	Med	Maintain
144.151	5.18	Num	Med	Probe
149.331	10.758	Num	Med	Rest
160.089	3.08	Pos	Med	Cue
163.169	10.007	Pos	Med	Encode
173.176	10.047	Pos	Med	Maintain
183.223	7.398	Pos	Med	Probe
190.621	10.802	Pos	Med	Rest
201.423	3.171	Frac	Low	Cue
204.594	10.056	Frac	Low	Encode
214.65	10.001	Frac	Low	Maintain
224.651	5.165	Frac	Low	Probe
229.816	10.822	Frac	Low	Rest
240.638	3.284	Num	Low	Cue
243.922	10.011	Num	Low	Encode
253.933	10.031	Num	Low	Maintain
263.964	3.438	Num	Low	Probe
267.402	10.804	Num	Low	Rest
278.206	3.25	Pos	Low	Cue
281.456	10.011	Pos	Low	Encode
291.467	9.999	Pos	Low	Maintain
301.466	3.724	Pos	Low	Probe
305.19	10.821	Pos	Low	Rest
316.011	3.924	Pos	High	Cue
319.935	10.021	Pos	High	Encode
329.956	10.062	Pos	High	Maintain
340.018	5.375	Pos	High	Probe
345.393	9.619	Pos	High	Rest
355.012	4.874	Pos	High	Cue
359.886	10.04	Pos	High	Encode
369.926	9.999	Pos	High	Maintain
379.925	5.288	Pos	High	Probe
385.213	10.826	Pos	High	Rest
396.039	3.14	Num	Low	Cue
399.179	10.041	Num	Low	Encode
409.22	10.048	Num	Low	Maintain
419.268	3.626	Num	Low	Probe
422.894	10.835	Num	Low	Rest
433.729	3.112	Num	High	Cue
436.841	10.011	Num	High	Encode
446.852	9.999	Num	High	Maintain
456.851	5.017	Num	High	Probe
461.868	10.868	Num	High	Rest
472.736	3.162	Frac	Low	Cue
475.898	10.025	Frac	Low	Encode
485.923	10.001	Frac	Low	Maintain
495.924	4.147	Frac	Low	Probe
500.071	10.825	Frac	Low	Rest
510.896	3.08	Frac	Med	Cue
513.976	10.009	Frac	Med	Encode
523.985	10.001	Frac	Med	Maintain
533.986	5.874	Frac	Med	Probe
539.86	10.814	Frac	Med	Rest
550.674	3.14	Pos	Low	Cue
553.814	10.025	Pos	Low	Encode
563.839	10.002	Pos	Low	Maintain
573.841	3.039	Pos	Low	Probe
576.88	10.795	Pos	Low	Rest
587.675	3.09	Num	Med	Cue
590.765	10.044	Num	Med	Encode
600.809	10.046	Num	Med	Maintain
610.855	4.322	Num	Med	Probe
615.177	10.833	Num	Med	Rest
626.01	3.17	Pos	Med	Cue
629.18	10.057	Pos	Med	Encode
639.237	10	Pos	Med	Maintain
649.237	3.675	Pos	Med	Probe
652.912	10.846	Pos	Med	Rest
663.758	3.09	Frac	High	Cue
666.848	10.057	Frac	High	Encode
676.905	10	Frac	High	Maintain
686.905	2.965	Frac	High	Probe
689.87	10	Frac	High	Rest
