onset	duration	trial_type	load_type	processing_stage
1.096	3.409	Frac	Low	Cue
4.505	10.044	Frac	Low	Encode
14.549	10.044	Frac	Low	Maintain
24.593	1.904	Frac	Low	Probe
26.497	10.882	Frac	Low	Rest
37.379	3.13	Num	Med	Cue
40.509	10.009	Num	Med	Encode
50.518	10.001	Num	Med	Maintain
60.519	4.061	Num	Med	Probe
64.58	10.799	Num	Med	Rest
75.379	3.13	Frac	Med	Cue
78.509	10.009	Frac	Med	Encode
88.518	10.001	Frac	Med	Maintain
98.519	4.825	Frac	Med	Probe
103.344	10.753	Frac	Med	Rest
114.097	3.08	Pos	Med	Cue
117.177	10.009	Pos	Med	Encode
127.186	10.001	Pos	Med	Maintain
137.187	2.31	Pos	Med	Probe
139.497	10.858	Pos	Med	Rest
150.355	3.151	Pos	High	Cue
153.506	10.034	Pos	High	Encode
163.54	10.002	Pos	High	Maintain
173.542	3.467	Pos	High	Probe
177.009	10.79	Pos	High	Rest
187.799	3.21	Pos	Low	Cue
191.009	10.034	Pos	Low	Encode
201.043	10	Pos	Low	Maintain
211.043	3.678	Pos	Low	Probe
214.721	10.794	Pos	Low	Rest
225.515	3.534	Frac	High	Cue
229.049	10.03	Frac	High	Encode
239.079	10	Frac	High	Maintain
249.079	3.358	Frac	High	Probe
252.437	10.814	Frac	High	Rest
263.251	3.3	Num	High	Cue
266.551	10.039	Num	High	Encode
276.59	10.049	Num	High	Maintain
286.639	5.48	Num	High	Probe
292.119	10.856	Num	High	Rest
302.975	3.241	Num	Low	Cue
306.216	10.037	Num	Low	Encode
316.253	10.041	Num	Low	Maintain
326.294	3.06	Num	Low	Probe
329.354	9.609	Num	Low	Rest
338.963	3.57	Pos	High	Cue
342.533	10.034	Pos	High	Encode
352.567	10.046	Pos	High	Maintain
362.613	3.01	Pos	High	Probe
365.623	10.861	Pos	High	Rest
376.484	3.13	Pos	Low	Cue
379.614	10.032	Pos	Low	Encode
389.646	10.001	Pos	Low	Maintain
399.647	2.572	Pos	Low	Probe
402.219	10.899	Pos	Low	Rest
413.118	3.3	Frac	Low	Cue
416.418	10.057	Frac	Low	Encode
426.475	10.001	Frac	Low	Maintain
436.476	3.263	Frac	Low	Probe
439.739	10.904	Frac	Low	Rest
450.643	3.071	Frac	Med	Cue
453.714	10.034	Frac	Med	Encode
463.748	10.062	Frac	Med	Maintain
473.81	3.987	Frac	Med	Probe
477.797	10.873	Frac	Med	Rest
488.67	4.1	Num	High	Cue
492.77	10.039	Num	High	Encode
502.809	10.002	Num	High	Maintain
512.811	4.465	Num	High	Probe
517.276	10.701	Num	High	Rest
527.977	3.462	Frac	High	Cue
531.439	10.039	Frac	High	Encode
541.478	10.049	Frac	High	Maintain
551.527	3.374	Frac	High	Probe
554.901	10.819	Frac	High	Rest
565.72	3.13	Pos	Med	Cue
568.85	10.01	Pos	Med	Encode
578.86	10	Pos	Med	Maintain
588.86	2.734	Pos	Med	Probe
591.594	10.844	Pos	Med	Rest
602.438	3.077	Num	Med	Cue
605.515	10.034	Num	Med	Encode
615.549	10.001	Num	Med	Maintain
625.55	2.951	Num	Med	Probe
628.501	10.807	Num	Med	Rest
639.308	3.13	Num	Low	Cue
642.438	10.01	Num	Low	Encode
652.448	10.032	Num	Low	Maintain
662.48	2.615	Num	Low	Probe
665.095	10	Num	Low	Rest
