onset	duration	trial_type	load_type	processing_stage
1.089	3.216	Num	High	Cue
4.305	10.034	Num	High	Encode
14.339	10.006	Num	High	Maintain
24.345	4.491	Num	High	Probe
28.836	10.553	Num	High	Rest
39.389	3.116	Pos	Med	Cue
42.505	10.05	Pos	Med	Encode
52.555	10.003	Pos	Med	Maintain
62.558	2.429	Pos	Med	Probe
64.987	10.518	Pos	Med	Rest
75.505	3.634	Num	Low	Cue
79.139	10.033	Num	Low	Encode
89.172	10.001	Num	Low	Maintain
99.173	3.638	Num	Low	Probe
102.811	10.528	Num	Low	Rest
113.339	3.133	Num	Med	Cue
116.472	10.033	Num	Med	Encode
126.505	10.003	Num	Med	Maintain
136.508	3.559	Num	Med	Probe
140.067	10.522	Num	Med	Rest
150.589	3.4	Pos	High	Cue
153.989	10.05	Pos	High	Encode
164.039	10.004	Pos	High	Maintain
174.043	2.544	Pos	High	Probe
176.587	10.535	Pos	High	Rest
187.122	3.083	Pos	Low	Cue
190.205	10.034	Pos	Low	Encode
200.239	10.002	Pos	Low	Maintain
210.241	3.434	Pos	Low	Probe
213.675	10.53	Pos	Low	Rest
224.205	3.167	Frac	Med	Cue
227.372	10.033	Frac	Med	Encode
237.405	10.003	Frac	Med	Maintain
247.408	3.163	Frac	Med	Probe
250.571	10.551	Frac	Med	Rest
261.122	3.933	Frac	High	Cue
265.055	10.05	Frac	High	Encode
275.105	10.004	Frac	High	Maintain
285.109	7.278	Frac	High	Probe
292.387	10.552	Frac	High	Rest
302.939	3.083	Frac	Low	Cue
306.022	10.033	Frac	Low	Encode
316.055	10.002	Frac	Low	Maintain
326.057	2.474	Frac	Low	Probe
328.531	9.524	Frac	Low	Rest
338.055	6.367	Pos	High	Cue
344.422	10.05	Pos	High	Encode
354.472	10.003	Pos	High	Maintain
364.475	4.105	Pos	High	Probe
368.58	10.509	Pos	High	Rest
379.089	3.216	Num	High	Cue
382.305	10.034	Num	High	Encode
392.339	10.003	Num	High	Maintain
402.342	5.668	Num	High	Probe
408.01	10.545	Num	High	Rest
418.555	3.434	Frac	High	Cue
421.989	10.05	Frac	High	Encode
432.039	10.003	Frac	High	Maintain
442.042	5.137	Frac	High	Probe
447.179	10.526	Frac	High	Rest
457.705	3.084	Pos	Med	Cue
460.789	10.033	Pos	Med	Encode
470.822	10.002	Pos	Med	Maintain
480.824	2.323	Pos	Med	Probe
483.147	10.508	Pos	Med	Rest
493.655	3.084	Frac	Med	Cue
496.739	10.05	Frac	Med	Encode
506.789	10.003	Frac	Med	Maintain
516.792	3.595	Frac	Med	Probe
520.387	10.518	Frac	Med	Rest
530.905	3.434	Pos	Low	Cue
534.339	10.05	Pos	Low	Encode
544.389	10.001	Pos	Low	Maintain
554.39	3.277	Pos	Low	Probe
557.667	10.505	Pos	Low	Rest
568.172	3.133	Frac	Low	Cue
571.305	10.034	Frac	Low	Encode
581.339	10.001	Frac	Low	Maintain
591.34	5.127	Frac	Low	Probe
596.467	10.505	Frac	Low	Rest
606.972	3.117	Num	Med	Cue
610.089	10.05	Num	Med	Encode
620.139	10.003	Num	Med	Maintain
630.142	3.645	Num	Med	Probe
633.787	10.518	Num	Med	Rest
644.305	3.167	Num	Low	Cue
647.472	10.033	Num	Low	Encode
657.505	10.001	Num	Low	Maintain
667.506	3.049	Num	Low	Probe
670.555	10	Num	Low	Rest
