onset	duration	trial_type	load_type	processing_stage
1.107	3.169	Num	Med	Cue
4.276	10.032	Num	Med	Encode
14.308	10.012	Num	Med	Maintain
24.32	4.186	Num	Med	Probe
28.506	10.553	Num	Med	Rest
39.059	3.133	Num	Low	Cue
42.192	10.033	Num	Low	Encode
52.225	10.004	Num	Low	Maintain
62.229	3.74	Num	Low	Probe
65.969	10.558	Num	Low	Rest
76.527	3.165	Frac	Med	Cue
79.692	10.034	Frac	Med	Encode
89.726	10.006	Frac	Med	Maintain
99.732	4.677	Frac	Med	Probe
104.409	10.568	Frac	Med	Rest
114.977	3.133	Pos	Med	Cue
118.11	10.034	Pos	Med	Encode
128.144	10.004	Pos	Med	Maintain
138.148	3.229	Pos	Med	Probe
141.377	10.567	Pos	Med	Rest
151.944	3.366	Num	High	Cue
155.31	10.034	Num	High	Encode
165.344	10.008	Num	High	Maintain
175.352	4.554	Num	High	Probe
179.906	10.572	Num	High	Rest
190.478	3.4	Frac	High	Cue
193.878	10.034	Frac	High	Encode
203.912	10.008	Frac	High	Maintain
213.92	7.697	Frac	High	Probe
221.617	10.595	Frac	High	Rest
232.212	3.083	Frac	Low	Cue
235.295	10.034	Frac	Low	Encode
245.329	10.054	Frac	Low	Maintain
255.383	4.258	Frac	Low	Probe
259.641	10.572	Frac	Low	Rest
270.213	3.2	Pos	High	Cue
273.413	10.05	Pos	High	Encode
283.463	10.007	Pos	High	Maintain
293.47	3.403	Pos	High	Probe
296.873	10.54	Pos	High	Rest
307.413	3.317	Pos	Low	Cue
310.73	10.034	Pos	Low	Encode
320.764	10.003	Pos	Low	Maintain
330.767	3.378	Pos	Low	Probe
334.145	9.586	Pos	Low	Rest
343.731	3.116	Num	Low	Cue
346.847	10.051	Num	Low	Encode
356.898	10.007	Num	Low	Maintain
366.905	4.265	Num	Low	Probe
371.17	10.562	Num	Low	Rest
381.732	3.165	Frac	Low	Cue
384.897	10.035	Frac	Low	Encode
394.932	10.003	Frac	Low	Maintain
404.935	3.787	Frac	Low	Probe
408.722	10.543	Frac	Low	Rest
419.265	3.167	Pos	Low	Cue
422.432	10.051	Pos	Low	Encode
432.483	10.003	Pos	Low	Maintain
442.486	4.931	Pos	Low	Probe
447.417	10.567	Pos	Low	Rest
457.984	3.115	Num	Med	Cue
461.099	10.05	Num	Med	Encode
471.149	10.006	Num	Med	Maintain
481.155	4.702	Num	Med	Probe
485.857	10.577	Num	Med	Rest
496.434	4.533	Frac	High	Cue
500.967	10.034	Frac	High	Encode
511.001	10.007	Frac	High	Maintain
521.008	6.738	Frac	High	Probe
527.746	10.588	Frac	High	Rest
538.334	3.166	Num	High	Cue
541.5	10.051	Num	High	Encode
551.551	10.008	Num	High	Maintain
561.559	5.73	Num	High	Probe
567.289	10.546	Num	High	Rest
577.835	3.134	Frac	Med	Cue
580.969	10.032	Frac	Med	Encode
591.001	10.006	Frac	Med	Maintain
601.007	4.874	Frac	Med	Probe
605.881	10.671	Frac	Med	Rest
616.552	3.834	Pos	High	Cue
620.386	10.05	Pos	High	Encode
630.436	10.041	Pos	High	Maintain
640.477	6.764	Pos	High	Probe
647.241	10.562	Pos	High	Rest
657.803	3.134	Pos	Med	Cue
660.937	10.033	Pos	Med	Encode
670.97	10.005	Pos	Med	Maintain
680.975	4.147	Pos	Med	Probe
685.122	10	Pos	Med	Rest
