onset	duration	trial_type	load_type	processing_stage
1.115	3.16	Frac	High	Cue
4.275	10.034	Frac	High	Encode
14.309	10.062	Frac	High	Maintain
24.371	3.812	Frac	High	Probe
28.183	10.793	Frac	High	Rest
38.976	3.09	Num	Med	Cue
42.066	10.024	Num	Med	Encode
52.09	10.003	Num	Med	Maintain
62.093	3.913	Num	Med	Probe
66.006	10.836	Num	Med	Rest
76.842	3.322	Num	Low	Cue
80.164	10.042	Num	Low	Encode
90.206	10.049	Num	Low	Maintain
100.255	3.044	Num	Low	Probe
103.299	10.811	Num	Low	Rest
114.11	3.14	Frac	Med	Cue
117.25	10.025	Frac	Med	Encode
127.275	10.001	Frac	Med	Maintain
137.276	6.175	Frac	Med	Probe
143.451	10.826	Frac	Med	Rest
154.277	3.14	Frac	Low	Cue
157.417	10.041	Frac	Low	Encode
167.458	10.048	Frac	Low	Maintain
177.506	3.481	Frac	Low	Probe
180.987	10.874	Frac	Low	Rest
191.861	3.44	Pos	High	Cue
195.301	10.044	Pos	High	Encode
205.345	10	Pos	High	Maintain
215.345	4.239	Pos	High	Probe
219.584	10.795	Pos	High	Rest
230.379	3.17	Num	High	Cue
233.549	10.009	Num	High	Encode
243.558	10.049	Num	High	Maintain
253.607	4.642	Num	High	Probe
258.249	10.847	Num	High	Rest
269.096	3.09	Pos	Med	Cue
272.186	10.04	Pos	Med	Encode
282.226	10.048	Pos	Med	Maintain
292.274	6.525	Pos	Med	Probe
298.799	10.838	Pos	Med	Rest
309.637	3.4	Pos	Low	Cue
313.037	10.025	Pos	Low	Encode
323.062	10.002	Pos	Low	Maintain
333.064	1.741	Pos	Low	Probe
334.805	9.6	Pos	Low	Rest
344.405	3.132	Num	Low	Cue
347.537	10.041	Num	Low	Encode
357.578	10.048	Num	Low	Maintain
367.626	2.038	Num	Low	Probe
369.664	10.818	Num	Low	Rest
380.482	4.913	Frac	High	Cue
385.395	10.02	Frac	High	Encode
395.415	10.001	Frac	High	Maintain
405.416	5.582	Frac	High	Probe
410.998	10.833	Frac	High	Rest
421.831	3.09	Frac	Med	Cue
424.921	10.056	Frac	Med	Encode
434.977	10.001	Frac	Med	Maintain
444.978	4.683	Frac	Med	Probe
449.661	10.892	Frac	Med	Rest
460.553	3.031	Pos	Med	Cue
463.584	10.011	Pos	Med	Encode
473.595	10.049	Pos	Med	Maintain
483.644	7.714	Pos	Med	Probe
491.358	10.821	Pos	Med	Rest
502.179	3.211	Num	Med	Cue
505.39	10.04	Num	Med	Encode
515.43	10.046	Num	Med	Maintain
525.476	2.766	Num	Med	Probe
528.242	10.823	Num	Med	Rest
539.065	3.151	Frac	Low	Cue
542.216	10.004	Frac	Low	Encode
552.22	10.031	Frac	Low	Maintain
562.251	3.803	Frac	Low	Probe
566.054	10.833	Frac	Low	Rest
576.887	3.42	Num	High	Cue
580.307	10.008	Num	High	Encode
590.315	10.001	Num	High	Maintain
600.316	4.774	Num	High	Probe
605.09	10.829	Num	High	Rest
615.919	3.62	Pos	Low	Cue
619.539	10.009	Pos	Low	Encode
629.548	10.001	Pos	Low	Maintain
639.549	3.313	Pos	Low	Probe
642.862	10.854	Pos	Low	Rest
653.716	3.711	Pos	High	Cue
657.427	10.044	Pos	High	Encode
667.471	9.999	Pos	High	Maintain
677.47	3.506	Pos	High	Probe
680.976	10	Pos	High	Rest
