onset	duration	trial_type	load_type	processing_stage
1.124	3.11	Num	Med	Cue
4.234	10.054	Num	Med	Encode
14.288	10	Num	Med	Maintain
24.288	3.883	Num	Med	Probe
28.171	10.819	Num	Med	Rest
38.99	4.333	Num	High	Cue
43.323	10.031	Num	High	Encode
53.354	10.062	Num	High	Maintain
63.416	5.429	Num	High	Probe
68.845	10.842	Num	High	Rest
79.687	3.17	Frac	Med	Cue
82.857	10.059	Frac	Med	Encode
92.916	10.032	Frac	Med	Maintain
102.948	4.017	Frac	Med	Probe
106.965	10.804	Frac	Med	Rest
117.769	3.22	Frac	High	Cue
120.989	10.04	Frac	High	Encode
131.029	10.002	Frac	High	Maintain
141.031	8.553	Frac	High	Probe
149.584	10.742	Frac	High	Rest
160.326	3.608	Pos	High	Cue
163.934	10.02	Pos	High	Encode
173.954	10	Pos	High	Maintain
183.954	2.562	Pos	High	Probe
186.516	10.82	Pos	High	Rest
197.336	3.12	Pos	Low	Cue
200.456	10.011	Pos	Low	Encode
210.467	10.048	Pos	Low	Maintain
220.515	2.441	Pos	Low	Probe
222.956	10.844	Pos	Low	Rest
233.8	3.207	Num	Low	Cue
237.007	10.009	Num	Low	Encode
247.016	10.001	Num	Low	Maintain
257.017	2.624	Num	Low	Probe
259.641	10.82	Num	Low	Rest
270.461	3.16	Frac	Low	Cue
273.621	10.007	Frac	Low	Encode
283.628	9.999	Frac	Low	Maintain
293.627	2.365	Frac	Low	Probe
295.992	10.847	Frac	Low	Rest
306.839	3.12	Pos	Med	Cue
309.959	10.06	Pos	Med	Encode
320.019	10	Pos	Med	Maintain
330.019	3.582	Pos	Med	Probe
333.601	9.604	Pos	Med	Rest
343.205	3.09	Frac	Med	Cue
346.295	10.044	Frac	Med	Encode
356.339	9.999	Frac	Med	Maintain
366.338	3.203	Frac	Med	Probe
369.541	10.838	Frac	Med	Rest
380.379	3.08	Num	Med	Cue
383.459	10.01	Num	Med	Encode
393.469	10.048	Num	Med	Maintain
403.517	3.451	Num	Med	Probe
406.968	10.746	Num	Med	Rest
417.714	3.292	Num	Low	Cue
421.006	10.014	Num	Low	Encode
431.02	10	Num	Low	Maintain
441.02	2.965	Num	Low	Probe
443.985	10.813	Num	Low	Rest
454.798	3.08	Pos	Med	Cue
457.878	10.06	Pos	Med	Encode
467.938	10	Pos	Med	Maintain
477.938	2.671	Pos	Med	Probe
480.609	10.815	Pos	Med	Rest
491.424	3.17	Num	High	Cue
494.594	10.041	Num	High	Encode
504.635	10.002	Num	High	Maintain
514.637	2.981	Num	High	Probe
517.618	10.847	Num	High	Rest
528.465	3.16	Pos	Low	Cue
531.625	10.054	Pos	Low	Encode
541.679	10.031	Pos	Low	Maintain
551.71	3.11	Pos	Low	Probe
554.82	10.804	Pos	Low	Rest
565.624	3.521	Frac	High	Cue
569.145	10.03	Frac	High	Encode
579.175	10.002	Frac	High	Maintain
589.177	7.897	Frac	High	Probe
597.074	10.856	Frac	High	Rest
607.93	3.22	Frac	Low	Cue
611.15	10.039	Frac	Low	Encode
621.189	10.049	Frac	Low	Maintain
631.238	3.064	Frac	Low	Probe
634.302	10.875	Frac	Low	Rest
645.177	3.306	Pos	High	Cue
648.483	10.044	Pos	High	Encode
658.527	10.047	Pos	High	Maintain
668.574	2.844	Pos	High	Probe
671.418	10	Pos	High	Rest
