onset	duration	trial_type	load_type	processing_stage
1.091	3.218	Pos	Med	Cue
4.309	10.032	Pos	Med	Encode
14.341	10.011	Pos	Med	Maintain
24.352	2.209	Pos	Med	Probe
26.561	10.58	Pos	Med	Rest
37.141	3.2	Num	Low	Cue
40.341	10.05	Num	Low	Encode
50.391	10.003	Num	Low	Maintain
60.394	2.702	Num	Low	Probe
63.096	10.579	Num	Low	Rest
73.675	5.933	Pos	High	Cue
79.608	10.05	Pos	High	Encode
89.658	10.007	Pos	High	Maintain
99.665	2.4	Pos	High	Probe
102.065	10.543	Pos	High	Rest
112.608	3.167	Frac	Low	Cue
115.775	10.05	Frac	Low	Encode
125.825	10.003	Frac	Low	Maintain
135.828	3.125	Frac	Low	Probe
138.953	10.572	Frac	Low	Rest
149.525	3.283	Pos	Low	Cue
152.808	10.033	Pos	Low	Encode
162.841	10.003	Pos	Low	Maintain
172.844	2.469	Pos	Low	Probe
175.313	10.528	Pos	Low	Rest
185.841	3.5	Num	High	Cue
189.341	10.034	Num	High	Encode
199.375	10.008	Num	High	Maintain
209.383	5.474	Num	High	Probe
214.857	10.568	Num	High	Rest
225.425	3.116	Num	Med	Cue
228.541	10.05	Num	Med	Encode
238.591	10.005	Num	Med	Maintain
248.596	3.116	Num	Med	Probe
251.712	10.579	Num	Med	Rest
262.291	3.717	Frac	High	Cue
266.008	10.05	Frac	High	Encode
276.058	10.007	Frac	High	Maintain
286.065	6.776	Frac	High	Probe
292.841	10.584	Frac	High	Rest
303.425	3.083	Frac	Med	Cue
306.508	10.05	Frac	Med	Encode
316.558	10.005	Frac	Med	Maintain
326.563	4.086	Frac	Med	Probe
330.649	9.576	Frac	Med	Rest
340.225	3.166	Pos	Low	Cue
343.391	10.034	Pos	Low	Encode
353.425	10.01	Pos	Low	Maintain
363.435	1.862	Pos	Low	Probe
365.297	10.511	Pos	Low	Rest
375.808	3.117	Frac	Med	Cue
378.925	10.05	Frac	Med	Encode
388.975	10.005	Frac	Med	Maintain
398.98	7.82	Frac	Med	Probe
406.8	10.508	Frac	Med	Rest
417.308	3.083	Pos	Med	Cue
420.391	10.034	Pos	Med	Encode
430.425	10.005	Pos	Med	Maintain
440.43	3.906	Pos	Med	Probe
444.336	10.555	Pos	Med	Rest
454.891	3.167	Frac	Low	Cue
458.058	10.033	Frac	Low	Encode
468.091	10.003	Frac	Low	Maintain
478.094	4.266	Frac	Low	Probe
482.36	10.531	Frac	Low	Rest
492.891	3.167	Pos	High	Cue
496.058	10.033	Pos	High	Encode
506.091	10.007	Pos	High	Maintain
516.098	3.119	Pos	High	Probe
519.217	10.541	Pos	High	Rest
529.758	5.567	Num	High	Cue
535.325	10.05	Num	High	Encode
545.375	10.007	Num	High	Maintain
555.382	4.499	Num	High	Probe
559.881	10.577	Num	High	Rest
570.458	3.083	Num	Med	Cue
573.541	10.034	Num	Med	Encode
583.575	10.005	Num	Med	Maintain
593.58	4.06	Num	Med	Probe
597.64	10.601	Num	Med	Rest
608.241	3.417	Num	Low	Cue
611.658	10.033	Num	Low	Encode
621.691	10.003	Num	Low	Maintain
631.694	3.202	Num	Low	Probe
634.896	10.545	Num	Low	Rest
645.441	4.05	Frac	High	Cue
649.491	10.034	Frac	High	Encode
659.525	10.007	Frac	High	Maintain
669.532	7.997	Frac	High	Probe
677.529	10	Frac	High	Rest
