onset	duration	trial_type	load_type	processing_stage
1.104	3.17	Frac	Low	Cue
4.274	10.057	Frac	Low	Encode
14.331	10	Frac	Low	Maintain
24.331	2.341	Frac	Low	Probe
26.672	10.77	Frac	Low	Rest
37.442	4.05	Num	High	Cue
41.492	10.04	Num	High	Encode
51.532	10.044	Num	High	Maintain
61.576	3.285	Num	High	Probe
64.861	10.792	Num	High	Rest
75.653	3.679	Pos	High	Cue
79.332	10.021	Pos	High	Encode
89.353	10.002	Pos	High	Maintain
99.355	3.304	Pos	High	Probe
102.659	10.785	Pos	High	Rest
113.444	3.08	Num	Med	Cue
116.524	10.009	Num	Med	Encode
126.533	10.049	Num	Med	Maintain
136.582	3.482	Num	Med	Probe
140.064	10.879	Num	Med	Rest
150.943	3.13	Pos	Low	Cue
154.073	10.009	Pos	Low	Encode
164.082	10.001	Pos	Low	Maintain
174.083	2.068	Pos	Low	Probe
176.151	10.788	Pos	Low	Rest
186.939	3.09	Pos	Med	Cue
190.029	10.044	Pos	Med	Encode
200.073	10.015	Pos	Med	Maintain
210.088	3.245	Pos	Med	Probe
213.333	10.773	Pos	Med	Rest
224.106	3.92	Frac	High	Cue
228.026	10.01	Frac	High	Encode
238.036	10	Frac	High	Maintain
248.036	6.182	Frac	High	Probe
254.218	10.837	Frac	High	Rest
265.055	3.051	Frac	Med	Cue
268.106	10.032	Frac	Med	Encode
278.138	10.002	Frac	Med	Maintain
288.14	3.351	Frac	Med	Probe
291.491	10.823	Frac	Med	Rest
302.314	3.21	Num	Low	Cue
305.524	10.032	Num	Low	Encode
315.556	10.001	Num	Low	Maintain
325.557	2.509	Num	Low	Probe
328.066	9.665	Num	Low	Rest
337.731	3.131	Frac	Med	Cue
340.862	10.009	Frac	Med	Encode
350.871	10	Frac	Med	Maintain
360.871	3.714	Frac	Med	Probe
364.585	10.565	Frac	Med	Rest
375.15	3.161	Num	Med	Cue
378.311	10.058	Num	Med	Encode
388.369	10	Num	Med	Maintain
398.369	3.113	Num	Med	Probe
401.482	10.826	Num	Med	Rest
412.308	5.379	Frac	High	Cue
417.687	10.025	Frac	High	Encode
427.712	10.006	Frac	High	Maintain
437.718	5.824	Frac	High	Probe
443.542	10.832	Frac	High	Rest
454.374	3.09	Pos	Med	Cue
457.464	10.044	Pos	Med	Encode
467.508	10.047	Pos	Med	Maintain
477.555	3.39	Pos	Med	Probe
480.945	10.846	Pos	Med	Rest
491.791	3.34	Pos	Low	Cue
495.131	10.045	Pos	Low	Encode
505.176	10.006	Pos	Low	Maintain
515.182	3.262	Pos	Low	Probe
518.444	10.753	Pos	Low	Rest
529.197	3.131	Num	Low	Cue
532.328	10.01	Num	Low	Encode
542.338	10.03	Num	Low	Maintain
552.368	4.143	Num	Low	Probe
556.511	10.855	Num	Low	Rest
567.366	3.127	Frac	Low	Cue
570.493	10.002	Frac	Low	Encode
580.495	10.031	Frac	Low	Maintain
590.526	2.758	Frac	Low	Probe
593.284	10.826	Frac	Low	Rest
604.11	3.14	Pos	High	Cue
607.25	10.041	Pos	High	Encode
617.291	10.049	Pos	High	Maintain
627.34	2.891	Pos	High	Probe
630.231	10.847	Pos	High	Rest
641.078	3.12	Num	High	Cue
644.198	10.057	Num	High	Encode
654.255	10.026	Num	High	Maintain
664.281	3.536	Num	High	Probe
667.817	10	Num	High	Rest
