onset	duration	trial_type	load_type	processing_stage
1.092	3.527	Num	Low	Cue
4.619	10.025	Num	Low	Encode
14.644	10.001	Num	Low	Maintain
24.645	2.524	Num	Low	Probe
27.169	10.811	Num	Low	Rest
37.98	3.14	Frac	Low	Cue
41.12	10.025	Frac	Low	Encode
51.145	10.002	Frac	Low	Maintain
61.147	2.804	Frac	Low	Probe
63.951	10.747	Frac	Low	Rest
74.698	3.321	Num	High	Cue
78.019	10.008	Num	High	Encode
88.027	10.001	Num	High	Maintain
98.028	4.26	Num	High	Probe
102.288	10.842	Num	High	Rest
113.13	3.171	Frac	Med	Cue
116.301	10.056	Frac	Med	Encode
126.357	10.026	Frac	Med	Maintain
136.383	4.677	Frac	Med	Probe
141.06	10.828	Frac	Med	Rest
151.888	3.16	Pos	High	Cue
155.048	10.011	Pos	High	Encode
165.059	10.049	Pos	High	Maintain
175.108	2.724	Pos	High	Probe
177.832	10.798	Pos	High	Rest
188.63	3.89	Frac	High	Cue
192.52	10.04	Frac	High	Encode
202.56	10.049	Frac	High	Maintain
212.609	5.08	Frac	High	Probe
217.689	10.839	Frac	High	Rest
228.528	3.111	Pos	Med	Cue
231.639	10.044	Pos	Med	Encode
241.683	10.031	Pos	Med	Maintain
251.714	3.07	Pos	Med	Probe
254.784	10.856	Pos	Med	Rest
265.64	3.08	Num	Med	Cue
268.72	10.056	Num	Med	Encode
278.776	10.001	Num	Med	Maintain
288.777	3.488	Num	Med	Probe
292.265	10.79	Num	Med	Rest
303.055	3.08	Pos	Low	Cue
306.135	10.058	Pos	Low	Encode
316.193	10	Pos	Low	Maintain
326.193	2.955	Pos	Low	Probe
329.148	9.62	Pos	Low	Rest
338.768	3.08	Pos	Med	Cue
341.848	10.034	Pos	Med	Encode
351.882	10.002	Pos	Med	Maintain
361.884	3.21	Pos	Med	Probe
365.094	10.788	Pos	Med	Rest
375.882	3.44	Num	High	Cue
379.322	10.04	Num	High	Encode
389.362	10.048	Num	High	Maintain
399.41	3.888	Num	High	Probe
403.298	10.801	Num	High	Rest
414.099	4.904	Frac	High	Cue
419.003	10.01	Frac	High	Encode
429.013	10	Frac	High	Maintain
439.013	6.101	Frac	High	Probe
445.114	10.836	Frac	High	Rest
455.95	3.09	Num	Med	Cue
459.04	10.058	Num	Med	Encode
469.098	10	Num	Med	Maintain
479.098	4.463	Num	Med	Probe
483.561	10.736	Num	Med	Rest
494.297	3.211	Num	Low	Cue
497.508	10.04	Num	Low	Encode
507.548	10.048	Num	Low	Maintain
517.596	2.924	Num	Low	Probe
520.52	10.821	Num	Low	Rest
531.341	3.2	Frac	Low	Cue
534.541	10.056	Frac	Low	Encode
544.597	10.031	Frac	Low	Maintain
554.628	3.301	Frac	Low	Probe
557.929	10.775	Frac	Low	Rest
568.704	3.504	Pos	Low	Cue
572.208	10.043	Pos	Low	Encode
582.251	10.006	Pos	Low	Maintain
592.257	2.191	Pos	Low	Probe
594.448	10.817	Pos	Low	Rest
605.265	3.151	Frac	Med	Cue
608.416	10.034	Frac	Med	Encode
618.45	10.002	Frac	Med	Maintain
628.452	7.391	Frac	Med	Probe
635.843	10.839	Frac	Med	Rest
646.682	3.323	Pos	High	Cue
650.005	10.01	Pos	High	Encode
660.015	10.001	Pos	High	Maintain
670.016	4.673	Pos	High	Probe
674.689	10	Pos	High	Rest
