onset	duration	trial_type	load_type	processing_stage
1.074	3.907	Num	Low	Cue
4.981	10.057	Num	Low	Encode
15.038	10.001	Num	Low	Maintain
25.039	2.809	Num	Low	Probe
27.848	10.761	Num	Low	Rest
38.609	3.121	Frac	Med	Cue
41.73	10.057	Frac	Med	Encode
51.787	10	Frac	Med	Maintain
61.787	3.816	Frac	Med	Probe
65.603	10.885	Frac	Med	Rest
76.488	3.127	Pos	Med	Cue
79.615	10.04	Pos	Med	Encode
89.655	10.049	Pos	Med	Maintain
99.704	2.219	Pos	Med	Probe
101.923	10.809	Pos	Med	Rest
112.732	5.59	Pos	High	Cue
118.322	10.05	Pos	High	Encode
128.372	10	Pos	High	Maintain
138.372	4.487	Pos	High	Probe
142.859	10.79	Pos	High	Rest
153.649	3.381	Frac	Low	Cue
157.03	10.009	Frac	Low	Encode
167.039	10.001	Frac	Low	Maintain
177.04	3.324	Frac	Low	Probe
180.364	10.861	Frac	Low	Rest
191.225	3.14	Num	Med	Cue
194.365	10.01	Num	Med	Encode
204.375	10.031	Num	Med	Maintain
214.406	3.231	Num	Med	Probe
217.637	10.758	Num	Med	Rest
228.395	3.831	Num	High	Cue
232.226	10.047	Num	High	Encode
242.273	10.049	Num	High	Maintain
252.322	4.158	Num	High	Probe
256.48	10.832	Num	High	Rest
267.312	3.272	Pos	Low	Cue
270.584	10.046	Pos	Low	Encode
280.63	10.031	Pos	Low	Maintain
290.661	3.522	Pos	Low	Probe
294.183	10.866	Pos	Low	Rest
305.049	5.577	Frac	High	Cue
310.626	10.031	Frac	High	Encode
320.657	10.048	Frac	High	Maintain
330.705	4.067	Frac	High	Probe
334.772	9.679	Frac	High	Rest
344.451	3.11	Num	Med	Cue
347.561	10.007	Num	Med	Encode
357.568	10.047	Num	Med	Maintain
367.615	3.886	Num	Med	Probe
371.501	10.811	Num	Med	Rest
382.312	3.09	Frac	Low	Cue
385.402	10.044	Frac	Low	Encode
395.446	10.031	Frac	Low	Maintain
405.477	3.053	Frac	Low	Probe
408.53	10.866	Frac	Low	Rest
419.396	3.14	Frac	Med	Cue
422.536	10.04	Frac	Med	Encode
432.576	10.048	Frac	Med	Maintain
442.624	3.722	Frac	Med	Probe
446.346	10.774	Frac	Med	Rest
457.12	3.483	Num	High	Cue
460.603	10.04	Num	High	Encode
470.643	10.048	Num	High	Maintain
480.691	4.481	Num	High	Probe
485.172	10.875	Num	High	Rest
496.047	3.285	Num	Low	Cue
499.332	10.059	Num	Low	Encode
509.391	10	Num	Low	Maintain
519.391	3.72	Num	Low	Probe
523.111	10.803	Num	Low	Rest
533.914	3.85	Pos	Low	Cue
537.764	10.033	Pos	Low	Encode
547.797	10.002	Pos	Low	Maintain
557.799	2.524	Pos	Low	Probe
560.323	10.82	Pos	Low	Rest
571.143	3.212	Pos	High	Cue
574.355	10.024	Pos	High	Encode
584.379	10.001	Pos	High	Maintain
594.38	4.658	Pos	High	Probe
599.038	10.824	Pos	High	Rest
609.862	5.304	Frac	High	Cue
615.166	10.01	Frac	High	Encode
625.176	10	Frac	High	Maintain
635.176	3.405	Frac	High	Probe
638.581	10.867	Frac	High	Rest
649.448	3.17	Pos	Med	Cue
652.618	10.06	Pos	Med	Encode
662.678	10	Pos	Med	Maintain
672.678	3.346	Pos	Med	Probe
676.024	10	Pos	Med	Rest
