onset	duration	trial_type	load_type	processing_stage
1.076	3.084	Frac	Med	Cue
4.16	10.05	Frac	Med	Encode
14.21	10.005	Frac	Med	Maintain
24.215	5.524	Frac	Med	Probe
29.739	10.554	Frac	Med	Rest
40.293	3.2	Pos	Low	Cue
43.493	10.05	Pos	Low	Encode
53.543	10.002	Pos	Low	Maintain
63.545	5.417	Pos	Low	Probe
68.962	10.531	Pos	Low	Rest
79.493	3.633	Frac	High	Cue
83.126	10.05	Frac	High	Encode
93.176	10.004	Frac	High	Maintain
103.18	3.838	Frac	High	Probe
107.018	10.525	Frac	High	Rest
117.543	3.217	Num	Low	Cue
120.76	10.033	Num	Low	Encode
130.793	10.002	Num	Low	Maintain
140.795	3.056	Num	Low	Probe
143.851	10.525	Num	Low	Rest
154.376	3.134	Num	Med	Cue
157.51	10.033	Num	Med	Encode
167.543	10.002	Num	Med	Maintain
177.545	3.578	Num	Med	Probe
181.123	10.503	Num	Med	Rest
191.626	3.084	Pos	Med	Cue
194.71	10.05	Pos	Med	Encode
204.76	10.002	Pos	Med	Maintain
214.762	3.969	Pos	Med	Probe
218.731	10.529	Pos	Med	Rest
229.26	3.5	Pos	High	Cue
232.76	10.033	Pos	High	Encode
242.793	10.003	Pos	High	Maintain
252.796	5.398	Pos	High	Probe
258.194	10.516	Pos	High	Rest
268.71	3.7	Num	High	Cue
272.41	10.033	Num	High	Encode
282.443	10.004	Num	High	Maintain
292.447	6.627	Num	High	Probe
299.074	10.502	Num	High	Rest
309.576	3.2	Frac	Low	Cue
312.776	10.05	Frac	Low	Encode
322.826	10.002	Frac	Low	Maintain
332.828	3.687	Frac	Low	Probe
336.515	9.511	Frac	Low	Rest
346.026	3.084	Pos	Med	Cue
349.11	10.05	Pos	Med	Encode
359.16	10.002	Pos	Med	Maintain
369.162	4.577	Pos	Med	Probe
373.739	10.504	Pos	Med	Rest
384.243	3.3	Num	High	Cue
387.543	10.05	Num	High	Encode
397.593	10.003	Num	High	Maintain
407.596	5.935	Num	High	Probe
413.531	10.512	Num	High	Rest
424.043	3.083	Pos	Low	Cue
427.126	10.05	Pos	Low	Encode
437.176	10.001	Pos	Low	Maintain
447.177	3.802	Pos	Low	Probe
450.979	10.531	Pos	Low	Rest
461.51	3.033	Pos	High	Cue
464.543	10.05	Pos	High	Encode
474.593	10.003	Pos	High	Maintain
484.596	5.126	Pos	High	Probe
489.722	10.538	Pos	High	Rest
500.26	3.116	Frac	Low	Cue
503.376	10.05	Frac	Low	Encode
513.426	10.001	Frac	Low	Maintain
523.427	2.463	Frac	Low	Probe
525.89	10.536	Frac	Low	Rest
536.426	3.084	Frac	High	Cue
539.51	10.033	Frac	High	Encode
549.543	10.004	Frac	High	Maintain
559.547	5.4	Frac	High	Probe
564.947	10.513	Frac	High	Rest
575.46	3.166	Num	Low	Cue
578.626	10.05	Num	Low	Encode
588.676	10.001	Num	Low	Maintain
598.677	3.766	Num	Low	Probe
602.443	10.517	Num	Low	Rest
612.96	3.133	Frac	Med	Cue
616.093	10.033	Frac	Med	Encode
626.126	10.002	Frac	Med	Maintain
636.128	7.163	Frac	Med	Probe
643.291	10.502	Frac	Med	Rest
653.793	3.133	Num	Med	Cue
656.926	10.034	Num	Med	Encode
666.96	10.002	Num	Med	Maintain
676.962	5.512	Num	Med	Probe
682.474	10	Num	Med	Rest
