onset	duration	trial_type	load_type	processing_stage
1.077	3.223	Frac	Med	Cue
4.3	10.039	Frac	Med	Encode
14.339	10.002	Frac	Med	Maintain
24.341	3.128	Frac	Med	Probe
27.469	10.866	Frac	Med	Rest
38.335	3.45	Pos	Low	Cue
41.785	10.008	Pos	Low	Encode
51.793	10.001	Pos	Low	Maintain
61.794	2.45	Pos	Low	Probe
64.244	10.819	Pos	Low	Rest
75.063	3.14	Num	Med	Cue
78.203	10.04	Num	Med	Encode
88.243	10.048	Num	Med	Maintain
98.291	3.218	Num	Med	Probe
101.509	10.866	Num	Med	Rest
112.375	3.191	Pos	High	Cue
115.566	10.06	Pos	High	Encode
125.626	10	Pos	High	Maintain
135.626	3.021	Pos	High	Probe
138.647	10.889	Pos	High	Rest
149.536	3.117	Frac	Low	Cue
152.653	10.056	Frac	Low	Encode
162.709	10.001	Frac	Low	Maintain
172.71	3.233	Frac	Low	Probe
175.943	10.885	Frac	Low	Rest
186.828	4.414	Frac	High	Cue
191.242	10.035	Frac	High	Encode
201.277	10.002	Frac	High	Maintain
211.279	5.695	Frac	High	Probe
216.974	10.798	Frac	High	Rest
227.772	3.13	Num	Low	Cue
230.902	10.01	Num	Low	Encode
240.912	10	Num	Low	Maintain
250.912	2.44	Num	Low	Probe
253.352	10.84	Num	Low	Rest
264.192	3.08	Pos	Med	Cue
267.272	10.06	Pos	Med	Encode
277.332	10.031	Pos	Med	Maintain
287.363	2.425	Pos	Med	Probe
289.788	10.87	Pos	Med	Rest
300.658	3.484	Num	High	Cue
304.142	10.044	Num	High	Encode
314.186	10	Num	High	Maintain
324.186	5.086	Num	High	Probe
329.272	9.613	Num	High	Rest
338.885	3.496	Frac	High	Cue
342.381	10.051	Frac	High	Encode
352.432	10	Frac	High	Maintain
362.432	4.581	Frac	High	Probe
367.013	10.775	Frac	High	Rest
377.788	3.13	Num	Med	Cue
380.918	10.034	Num	Med	Encode
390.952	10.001	Num	Med	Maintain
400.953	7.772	Num	Med	Probe
408.725	10.813	Num	Med	Rest
419.538	3.14	Pos	Low	Cue
422.678	10.024	Pos	Low	Encode
432.702	10.002	Pos	Low	Maintain
442.704	2.586	Pos	Low	Probe
445.29	10.839	Pos	Low	Rest
456.129	3.791	Frac	Low	Cue
459.92	10.034	Frac	Low	Encode
469.954	10.001	Frac	Low	Maintain
479.955	4.819	Frac	Low	Probe
484.774	10.82	Frac	Low	Rest
495.594	3.4	Num	High	Cue
498.994	10.04	Num	High	Encode
509.034	10.001	Num	High	Maintain
519.035	6.603	Num	High	Probe
525.638	10.856	Num	High	Rest
536.494	3.471	Num	Low	Cue
539.965	10.027	Num	Low	Encode
549.992	10.062	Num	Low	Maintain
560.054	2.41	Num	Low	Probe
562.464	10.866	Num	Low	Rest
573.33	4.744	Pos	High	Cue
578.074	10.011	Pos	High	Encode
588.085	10	Pos	High	Maintain
598.085	2.989	Pos	High	Probe
601.074	10.872	Pos	High	Rest
611.946	3.17	Frac	Med	Cue
615.116	10.044	Frac	Med	Encode
625.16	9.999	Frac	Med	Maintain
635.159	3.172	Frac	Med	Probe
638.331	10.866	Frac	Med	Rest
649.197	3.21	Pos	Med	Cue
652.407	10.034	Pos	Med	Encode
662.441	10.002	Pos	Med	Maintain
672.443	3.013	Pos	Med	Probe
675.456	10	Pos	Med	Rest
