onset	duration	trial_type	load_type	processing_stage
1.117	3.784	Frac	High	Cue
4.901	10.045	Frac	High	Encode
14.946	10.002	Frac	High	Maintain
24.948	4.034	Frac	High	Probe
28.982	10.841	Frac	High	Rest
39.823	3.087	Pos	Med	Cue
42.91	10.039	Pos	Med	Encode
52.949	10.049	Pos	Med	Maintain
62.998	2.324	Pos	Med	Probe
65.322	10.865	Pos	Med	Rest
76.187	3.25	Num	High	Cue
79.437	10.011	Num	High	Encode
89.448	10.002	Num	High	Maintain
99.45	5.636	Num	High	Probe
105.086	10.775	Num	High	Rest
115.861	3.08	Frac	Low	Cue
118.941	10.01	Frac	Low	Encode
128.951	10.048	Frac	Low	Maintain
138.999	2.41	Frac	Low	Probe
141.409	10.835	Frac	Low	Rest
152.244	3.2	Pos	High	Cue
155.444	10.044	Pos	High	Encode
165.488	10.046	Pos	High	Maintain
175.534	2.615	Pos	High	Probe
178.149	10.788	Pos	High	Rest
188.937	3.22	Num	Med	Cue
192.157	10.01	Num	Med	Encode
202.167	10	Num	Med	Maintain
212.167	3.425	Num	Med	Probe
215.592	10.737	Num	Med	Rest
226.329	3.16	Pos	Low	Cue
229.489	10.034	Pos	Low	Encode
239.523	10.001	Pos	Low	Maintain
249.524	3.336	Pos	Low	Probe
252.86	10.838	Pos	Low	Rest
263.698	3.13	Frac	Med	Cue
266.828	10.034	Frac	Med	Encode
276.862	10.046	Frac	Med	Maintain
286.908	4.476	Frac	Med	Probe
291.384	10.814	Frac	Med	Rest
302.198	3.13	Num	Low	Cue
305.328	10.009	Num	Low	Encode
315.337	10.001	Num	Low	Maintain
325.338	3.41	Num	Low	Probe
328.748	9.613	Num	Low	Rest
338.361	4.872	Frac	High	Cue
343.233	10.03	Frac	High	Encode
353.263	10	Frac	High	Maintain
363.263	4.403	Frac	High	Probe
367.666	10.76	Frac	High	Rest
378.426	3.14	Frac	Med	Cue
381.566	10.008	Frac	Med	Encode
391.574	10.001	Frac	Med	Maintain
401.575	3.232	Frac	Med	Probe
404.807	10.841	Frac	Med	Rest
415.648	3.95	Num	High	Cue
419.598	10.031	Num	High	Encode
429.629	10.062	Num	High	Maintain
439.691	4.248	Num	High	Probe
443.939	10.783	Num	High	Rest
454.722	3.127	Num	Med	Cue
457.849	10.01	Num	Med	Encode
467.859	10	Num	Med	Maintain
477.859	5.994	Num	Med	Probe
483.853	10.775	Num	Med	Rest
494.628	3.32	Frac	Low	Cue
497.948	10.009	Frac	Low	Encode
507.957	10.001	Frac	Low	Maintain
517.958	2.827	Frac	Low	Probe
520.785	10.867	Frac	Low	Rest
531.652	4.138	Pos	High	Cue
535.79	10.044	Pos	High	Encode
545.834	10.031	Pos	High	Maintain
555.865	3.505	Pos	High	Probe
559.37	10.883	Pos	High	Rest
570.253	3.077	Pos	Med	Cue
573.33	10.034	Pos	Med	Encode
583.364	10.002	Pos	Med	Maintain
593.366	2.129	Pos	Med	Probe
595.495	10.847	Pos	Med	Rest
606.342	3.197	Num	Low	Cue
609.539	10.044	Num	Low	Encode
619.583	10.046	Num	Low	Maintain
629.629	2.722	Num	Low	Probe
632.351	10.82	Num	Low	Rest
643.171	3.08	Pos	Low	Cue
646.251	10.041	Pos	Low	Encode
656.292	10.043	Pos	Low	Maintain
666.335	1.849	Pos	Low	Probe
668.184	10	Pos	Low	Rest
