onset	duration	trial_type	load_type	processing_stage
1.104	3.533	Frac	High	Cue
4.637	10.04	Frac	High	Encode
14.677	10.002	Frac	High	Maintain
24.679	4.981	Frac	High	Probe
29.66	10.848	Frac	High	Rest
40.508	3.454	Pos	High	Cue
43.962	10.02	Pos	High	Encode
53.982	10.001	Pos	High	Maintain
63.983	2.438	Pos	High	Probe
66.421	10.819	Pos	High	Rest
77.24	3.21	Frac	Low	Cue
80.45	10.034	Frac	Low	Encode
90.484	10.009	Frac	Low	Maintain
100.493	4.625	Frac	Low	Probe
105.118	10.704	Frac	Low	Rest
115.822	3.17	Pos	Low	Cue
118.992	10.054	Pos	Low	Encode
129.046	10.026	Pos	Low	Maintain
139.072	2.65	Pos	Low	Probe
141.722	10.769	Pos	Low	Rest
152.491	3.13	Frac	Med	Cue
155.621	10.01	Frac	Med	Encode
165.631	10	Frac	Med	Maintain
175.631	4.376	Frac	Med	Probe
180.007	10.702	Frac	Med	Rest
190.709	4.496	Num	High	Cue
195.205	10.041	Num	High	Encode
205.246	10.043	Num	High	Maintain
215.289	7.649	Num	High	Probe
222.938	10.774	Num	High	Rest
233.712	3.25	Num	Low	Cue
236.962	10.039	Num	Low	Encode
247.001	10.046	Num	Low	Maintain
257.047	2.364	Num	Low	Probe
259.411	10.841	Num	Low	Rest
270.252	3.161	Num	Med	Cue
273.413	10.044	Num	Med	Encode
283.457	10.046	Num	Med	Maintain
293.503	9.197	Num	Med	Probe
302.7	10.853	Num	Med	Rest
313.553	3.191	Pos	Med	Cue
316.744	10.01	Pos	Med	Encode
326.754	10.046	Pos	Med	Maintain
336.8	2.712	Pos	Med	Probe
339.512	9.648	Pos	Med	Rest
349.16	3.087	Num	Med	Cue
352.247	10.044	Num	Med	Encode
362.291	10.012	Num	Med	Maintain
372.303	3.872	Num	Med	Probe
376.175	10.736	Num	Med	Rest
386.911	3.17	Frac	Low	Cue
390.081	10.057	Frac	Low	Encode
400.138	10	Frac	Low	Maintain
410.138	2.858	Frac	Low	Probe
412.996	10.839	Frac	Low	Rest
423.835	4.644	Pos	High	Cue
428.479	10.03	Pos	High	Encode
438.509	10.001	Pos	High	Maintain
448.51	4.286	Pos	High	Probe
452.796	10.808	Pos	High	Rest
463.604	3.126	Frac	Med	Cue
466.73	10.01	Frac	Med	Encode
476.74	10	Frac	Med	Maintain
486.74	7.613	Frac	Med	Probe
494.353	10.832	Frac	Med	Rest
505.185	3.16	Frac	High	Cue
508.345	10.054	Frac	High	Encode
518.399	10.006	Frac	High	Maintain
528.405	6.822	Frac	High	Probe
535.227	10.705	Frac	High	Rest
545.932	3.32	Pos	Low	Cue
549.252	10.047	Pos	Low	Encode
559.299	10.044	Pos	Low	Maintain
569.343	4.422	Pos	Low	Probe
573.765	10.738	Pos	Low	Rest
584.503	3.21	Num	Low	Cue
587.713	10.034	Num	Low	Encode
597.747	10.002	Num	Low	Maintain
607.749	3.522	Num	Low	Probe
611.271	10.7	Num	Low	Rest
621.971	3.08	Pos	Med	Cue
625.051	10.03	Pos	Med	Encode
635.081	10.004	Pos	Med	Maintain
645.085	3.395	Pos	Med	Probe
648.48	10.858	Pos	Med	Rest
659.338	3.78	Num	High	Cue
663.118	10.011	Num	High	Encode
673.129	10	Num	High	Maintain
683.129	7.28	Num	High	Probe
690.409	10	Num	High	Rest
