onset	duration	trial_type	load_type	processing_stage
1.092	3.158	Frac	Med	Cue
4.25	10.019	Frac	Med	Encode
14.269	10.028	Frac	Med	Maintain
24.297	4.08	Frac	Med	Probe
28.377	10.711	Frac	Med	Rest
39.088	3.25	Num	Low	Cue
42.338	10.01	Num	Low	Encode
52.348	10	Num	Low	Maintain
62.348	2.321	Num	Low	Probe
64.669	10.707	Num	Low	Rest
75.376	3.682	Frac	High	Cue
79.058	10.03	Frac	High	Encode
89.088	10.002	Frac	High	Maintain
99.09	8.141	Frac	High	Probe
107.231	10.823	Frac	High	Rest
118.054	3.091	Frac	Low	Cue
121.145	10.029	Frac	Low	Encode
131.174	10.009	Frac	Low	Maintain
141.183	4.463	Frac	Low	Probe
145.646	10.748	Frac	Low	Rest
156.394	3.08	Num	Med	Cue
159.474	10.01	Num	Med	Encode
169.484	10	Num	Med	Maintain
179.484	4.327	Num	Med	Probe
183.811	10.675	Num	Med	Rest
194.486	3.158	Pos	Med	Cue
197.644	10.034	Pos	Med	Encode
207.678	10.006	Pos	Med	Maintain
217.684	1.73	Pos	Med	Probe
219.414	10.758	Pos	Med	Rest
230.172	4.7	Pos	High	Cue
234.872	10.034	Pos	High	Encode
244.906	10.001	Pos	High	Maintain
254.907	1.381	Pos	High	Probe
256.288	10.793	Pos	High	Rest
267.081	3.452	Num	High	Cue
270.533	10.036	Num	High	Encode
280.569	10.002	Num	High	Maintain
290.571	9.005	Num	High	Probe
299.576	10.738	Num	High	Rest
310.314	3.16	Pos	Low	Cue
313.474	10.007	Pos	Low	Encode
323.481	10.046	Pos	Low	Maintain
333.527	2.319	Pos	Low	Probe
335.846	9.552	Pos	Low	Rest
345.398	3.08	Pos	Med	Cue
348.478	10.055	Pos	Med	Encode
358.533	10.001	Pos	Med	Maintain
368.534	3.789	Pos	Med	Probe
372.323	10.661	Pos	Med	Rest
382.984	3.13	Frac	Low	Cue
386.114	10.031	Frac	Low	Encode
396.145	10.062	Frac	Low	Maintain
406.207	2.906	Frac	Low	Probe
409.113	10.832	Frac	Low	Rest
419.945	4.14	Pos	High	Cue
424.085	10.033	Pos	High	Encode
434.118	10.016	Pos	High	Maintain
444.134	3.275	Pos	High	Probe
447.409	10.793	Pos	High	Rest
458.202	3.21	Num	Low	Cue
461.412	10.034	Num	Low	Encode
471.446	10.002	Num	Low	Maintain
481.448	5.316	Num	Low	Probe
486.764	10.768	Num	Low	Rest
497.532	3.28	Frac	High	Cue
500.812	10.034	Frac	High	Encode
510.846	10.002	Frac	High	Maintain
520.848	8.864	Frac	High	Probe
529.712	10.804	Frac	High	Rest
540.516	3.09	Frac	Med	Cue
543.606	10.05	Frac	Med	Encode
553.656	10.026	Frac	Med	Maintain
563.682	7.538	Frac	Med	Probe
571.22	10.85	Frac	Med	Rest
582.07	3.077	Num	Med	Cue
585.147	10.016	Num	Med	Encode
595.163	10.029	Num	Med	Maintain
605.192	4.248	Num	Med	Probe
609.44	10.745	Num	Med	Rest
620.185	3.14	Pos	Low	Cue
623.325	10.024	Pos	Low	Encode
633.349	10.015	Pos	Low	Maintain
643.364	1.281	Pos	Low	Probe
644.645	10.593	Pos	Low	Rest
655.238	4.814	Num	High	Cue
660.052	10.04	Num	High	Encode
670.092	10.005	Num	High	Maintain
680.097	8.367	Num	High	Probe
688.464	10	Num	High	Rest
