onset	duration	trial_type	load_type	processing_stage
1.114	3.082	Num	Med	Cue
4.196	10.034	Num	Med	Encode
14.23	10.002	Num	Med	Maintain
24.232	5.457	Num	Med	Probe
29.689	10.761	Num	Med	Rest
40.45	3.167	Frac	Low	Cue
43.617	10.032	Frac	Low	Encode
53.649	10.001	Frac	Low	Maintain
63.65	2.992	Frac	Low	Probe
66.642	10.842	Frac	Low	Rest
77.484	3.171	Frac	High	Cue
80.655	10.044	Frac	High	Encode
90.699	10.047	Frac	High	Maintain
100.746	5.125	Frac	High	Probe
105.871	10.861	Frac	High	Rest
116.732	3.09	Num	Low	Cue
119.822	10.057	Num	Low	Encode
129.879	9.999	Num	Low	Maintain
139.878	3.891	Num	Low	Probe
143.769	10.798	Num	Low	Rest
154.567	3.17	Pos	High	Cue
157.737	10.01	Pos	High	Encode
167.747	10.049	Pos	High	Maintain
177.796	4.855	Pos	High	Probe
182.651	10.885	Pos	High	Rest
193.536	3.09	Pos	Low	Cue
196.626	10.025	Pos	Low	Encode
206.651	10.002	Pos	Low	Maintain
216.653	3.257	Pos	Low	Probe
219.91	10.826	Pos	Low	Rest
230.736	3.14	Frac	Med	Cue
233.876	10.04	Frac	Med	Encode
243.916	10.048	Frac	Med	Maintain
253.964	6.405	Frac	Med	Probe
260.369	10.791	Frac	Med	Rest
271.16	3.98	Num	High	Cue
275.14	10.01	Num	High	Encode
285.15	10	Num	High	Maintain
295.15	4.221	Num	High	Probe
299.371	10.802	Num	High	Rest
310.173	3.081	Pos	Med	Cue
313.254	10.011	Pos	Med	Encode
323.265	10	Pos	Med	Maintain
333.265	4.964	Pos	Med	Probe
338.229	9.657	Pos	Med	Rest
347.886	3.09	Num	Med	Cue
350.976	10.009	Num	Med	Encode
360.985	10.001	Num	Med	Maintain
370.986	3.449	Num	Med	Probe
374.435	10.828	Num	Med	Rest
385.263	3.21	Frac	Low	Cue
388.473	10.032	Frac	Low	Encode
398.505	10.002	Frac	Low	Maintain
408.507	4.755	Frac	Low	Probe
413.262	10.882	Frac	Low	Rest
424.144	4.34	Pos	High	Cue
428.484	10.025	Pos	High	Encode
438.509	10.062	Pos	High	Maintain
448.571	5.044	Pos	High	Probe
453.615	10.821	Pos	High	Rest
464.436	3.161	Pos	Med	Cue
467.597	10.044	Pos	Med	Encode
477.641	10.047	Pos	Med	Maintain
487.688	5.352	Pos	Med	Probe
493.04	10.854	Pos	Med	Rest
503.894	3.17	Frac	High	Cue
507.064	10.039	Frac	High	Encode
517.103	10.049	Frac	High	Maintain
527.152	5.543	Frac	High	Probe
532.695	10.813	Frac	High	Rest
543.508	3.27	Num	High	Cue
546.778	10.01	Num	High	Encode
556.788	10	Num	High	Maintain
566.788	10.025	Num	High	Probe
576.813	10.83	Num	High	Rest
587.643	3.14	Pos	Low	Cue
590.783	10.025	Pos	Low	Encode
600.808	10.002	Pos	Low	Maintain
610.81	2.061	Pos	Low	Probe
612.871	10.696	Pos	Low	Rest
623.567	3.212	Num	Low	Cue
626.779	10.009	Num	Low	Encode
636.788	10.001	Num	Low	Maintain
646.789	4.105	Num	Low	Probe
650.894	10.833	Num	Low	Rest
661.727	3.09	Frac	Med	Cue
664.817	10.044	Frac	Med	Encode
674.861	10.046	Frac	Med	Maintain
684.907	3.761	Frac	Med	Probe
688.668	10	Frac	Med	Rest
