onset	duration	trial_type	load_type	processing_stage
1.099	3.382	Num	High	Cue
4.481	10.031	Num	High	Encode
14.512	10	Num	High	Maintain
24.512	4.957	Num	High	Probe
29.469	10.854	Num	High	Rest
40.323	3.101	Num	Med	Cue
43.424	10.008	Num	Med	Encode
53.432	10.046	Num	Med	Maintain
63.478	3.665	Num	Med	Probe
67.143	10.836	Num	Med	Rest
77.979	3.08	Pos	Low	Cue
81.059	10.003	Pos	Low	Encode
91.062	10	Pos	Low	Maintain
101.062	2.679	Pos	Low	Probe
103.741	10.826	Pos	Low	Rest
114.567	3.38	Pos	High	Cue
117.947	10.009	Pos	High	Encode
127.956	10.001	Pos	High	Maintain
137.957	2.583	Pos	High	Probe
140.54	10.826	Pos	High	Rest
151.366	3.16	Frac	High	Cue
154.526	10.034	Frac	High	Encode
164.56	10.001	Frac	High	Maintain
174.561	3.694	Frac	High	Probe
178.255	10.808	Frac	High	Rest
189.063	3.171	Frac	Low	Cue
192.234	10.057	Frac	Low	Encode
202.291	10	Frac	Low	Maintain
212.291	2.809	Frac	Low	Probe
215.1	10.795	Frac	Low	Rest
225.895	3.14	Frac	Med	Cue
229.035	10.025	Frac	Med	Encode
239.06	10.002	Frac	Med	Maintain
249.062	1.701	Frac	Med	Probe
250.763	10.851	Frac	Med	Rest
261.614	3.442	Num	Low	Cue
265.056	10.022	Num	Low	Encode
275.078	10.002	Num	Low	Maintain
285.08	2.86	Num	Low	Probe
287.94	10.811	Num	Low	Rest
298.751	3.131	Pos	Med	Cue
301.882	10.01	Pos	Med	Encode
311.892	10.001	Pos	Med	Maintain
321.893	2.311	Pos	Med	Probe
324.204	9.638	Pos	Med	Rest
333.842	3.121	Pos	Low	Cue
336.963	10.003	Pos	Low	Encode
346.966	10.031	Pos	Low	Maintain
356.997	2.602	Pos	Low	Probe
359.599	10.816	Pos	Low	Rest
370.415	3.08	Num	Med	Cue
373.495	10.007	Num	Med	Encode
383.502	10.046	Num	Med	Maintain
393.548	4.366	Num	Med	Probe
397.914	10.833	Num	Med	Rest
408.747	3.14	Frac	Med	Cue
411.887	10.04	Frac	Med	Encode
421.927	10.048	Frac	Med	Maintain
431.975	4.216	Frac	Med	Probe
436.191	10.78	Frac	Med	Rest
446.971	3.88	Num	High	Cue
450.851	10.01	Num	High	Encode
460.861	10	Num	High	Maintain
470.861	5.29	Num	High	Probe
476.151	10.813	Num	High	Rest
486.964	3.09	Pos	Med	Cue
490.054	10.057	Pos	Med	Encode
500.111	10	Pos	Med	Maintain
510.111	2.403	Pos	Med	Probe
512.514	10.867	Pos	Med	Rest
523.381	3.09	Frac	Low	Cue
526.471	10.058	Frac	Low	Encode
536.529	10	Frac	Low	Maintain
546.529	2.981	Frac	Low	Probe
549.51	10.844	Frac	Low	Rest
560.354	3.251	Frac	High	Cue
563.605	10.04	Frac	High	Encode
573.645	10.048	Frac	High	Maintain
583.693	7.312	Frac	High	Probe
591.005	10.85	Frac	High	Rest
601.855	3.11	Pos	High	Cue
604.965	10.007	Pos	High	Encode
614.972	10.047	Pos	High	Maintain
625.019	3.196	Pos	High	Probe
628.215	10.885	Pos	High	Rest
639.1	3.12	Num	Low	Cue
642.22	10.057	Num	Low	Encode
652.277	10	Num	Low	Maintain
662.277	2.694	Num	Low	Probe
664.971	10	Num	Low	Rest
