onset	duration	trial_type	load_type	processing_stage
1.102	3.127	Frac	High	Cue
4.229	10.032	Frac	High	Encode
14.261	10.001	Frac	High	Maintain
24.262	3.731	Frac	High	Probe
27.993	10.775	Frac	High	Rest
38.768	3.13	Frac	Low	Cue
41.898	10.01	Frac	Low	Encode
51.908	10	Frac	Low	Maintain
61.908	2.544	Frac	Low	Probe
64.452	10.811	Frac	Low	Rest
75.263	3.22	Num	Low	Cue
78.483	10.009	Num	Low	Encode
88.492	10	Num	Low	Maintain
98.492	2.606	Num	Low	Probe
101.098	10.839	Num	Low	Rest
111.937	3.36	Pos	Low	Cue
115.297	10.059	Pos	Low	Encode
125.356	10	Pos	Low	Maintain
135.356	2.924	Pos	Low	Probe
138.28	10.768	Pos	Low	Rest
149.048	3.13	Num	Med	Cue
152.178	10.034	Num	Med	Encode
162.212	10.001	Num	Med	Maintain
172.213	2.836	Num	Med	Probe
175.049	10.839	Num	Med	Rest
185.888	3.21	Frac	Med	Cue
189.098	10.032	Frac	Med	Encode
199.13	10.001	Frac	Med	Maintain
209.131	3.386	Frac	Med	Probe
212.517	10.868	Frac	Med	Rest
223.385	3.406	Num	High	Cue
226.791	10.05	Num	High	Encode
236.841	10.001	Num	High	Maintain
246.842	6.072	Num	High	Probe
252.914	10.836	Num	High	Rest
263.75	3.12	Pos	Med	Cue
266.87	10.056	Pos	Med	Encode
276.926	10.001	Pos	Med	Maintain
286.927	3.168	Pos	Med	Probe
290.095	10.851	Pos	Med	Rest
300.946	5.599	Pos	High	Cue
306.545	10.022	Pos	High	Encode
316.567	10.062	Pos	High	Maintain
326.629	3.993	Pos	High	Probe
330.622	9.609	Pos	High	Rest
340.231	3.735	Num	High	Cue
343.966	10.045	Num	High	Encode
354.011	10.048	Num	High	Maintain
364.059	7.117	Num	High	Probe
371.176	10.87	Num	High	Rest
382.046	4.7	Frac	High	Cue
386.746	10.018	Frac	High	Encode
396.764	10.002	Frac	High	Maintain
406.766	3.616	Frac	High	Probe
410.382	10.863	Frac	High	Rest
421.245	3.161	Pos	Med	Cue
424.406	10.04	Pos	Med	Encode
434.446	10.048	Pos	Med	Maintain
444.494	3.532	Pos	Med	Probe
448.026	10.83	Pos	Med	Rest
458.856	3.13	Num	Med	Cue
461.986	10.01	Num	Med	Encode
471.996	10	Num	Med	Maintain
481.996	3.496	Num	Med	Probe
485.492	10.837	Num	Med	Rest
496.329	3.241	Num	Low	Cue
499.57	10.007	Num	Low	Encode
509.577	10.03	Num	Low	Maintain
519.607	3.472	Num	Low	Probe
523.079	10.826	Num	Low	Rest
533.905	3.456	Pos	Low	Cue
537.361	10.003	Pos	Low	Encode
547.364	10.031	Pos	Low	Maintain
557.395	1.768	Pos	Low	Probe
559.163	10.866	Pos	Low	Rest
570.029	4.564	Pos	High	Cue
574.593	10.026	Pos	High	Encode
584.619	10.062	Pos	High	Maintain
594.681	4.618	Pos	High	Probe
599.299	10.819	Pos	High	Rest
610.118	3.14	Frac	Med	Cue
613.258	10.04	Frac	Med	Encode
623.298	10.048	Frac	Med	Maintain
633.346	3.232	Frac	Med	Probe
636.578	10.794	Frac	Med	Rest
647.372	3.13	Frac	Low	Cue
650.502	10.032	Frac	Low	Encode
660.534	10.002	Frac	Low	Maintain
670.536	4.146	Frac	Low	Probe
674.682	10	Frac	Low	Rest
