onset	duration	trial_type	load_type	processing_stage
1.087	3.123	Pos	Low	Cue
4.21	10.041	Pos	Low	Encode
14.251	10.042	Pos	Low	Maintain
24.293	2.728	Pos	Low	Probe
27.021	10.895	Pos	Low	Rest
37.916	4.314	Pos	High	Cue
42.23	10.03	Pos	High	Encode
52.26	10.001	Pos	High	Maintain
62.261	3.396	Pos	High	Probe
65.657	10.833	Pos	High	Rest
76.49	3.242	Num	Low	Cue
79.732	10.041	Num	Low	Encode
89.773	10.049	Num	Low	Maintain
99.822	4.371	Num	Low	Probe
104.193	10.823	Num	Low	Rest
115.016	3.13	Pos	Med	Cue
118.146	10.01	Pos	Med	Encode
128.156	10	Pos	Med	Maintain
138.156	4.559	Pos	Med	Probe
142.715	10.851	Pos	Med	Rest
153.566	3.197	Num	Med	Cue
156.763	10.01	Num	Med	Encode
166.773	10.002	Num	Med	Maintain
176.775	4.314	Num	Med	Probe
181.089	10.848	Num	Med	Rest
191.937	3.08	Num	High	Cue
195.017	10.06	Num	High	Encode
205.077	10.031	Num	High	Maintain
215.108	7.851	Num	High	Probe
222.959	10.809	Num	High	Rest
233.768	5.083	Frac	High	Cue
238.851	10.028	Frac	High	Encode
248.879	10.002	Frac	High	Maintain
258.881	7.951	Frac	High	Probe
266.832	10.807	Frac	High	Rest
277.639	3.207	Frac	Low	Cue
280.846	10.034	Frac	Low	Encode
290.88	10.002	Frac	Low	Maintain
300.882	2.539	Frac	Low	Probe
303.421	10.763	Frac	Low	Rest
314.184	3.08	Frac	Med	Cue
317.264	10.034	Frac	Med	Encode
327.298	10.062	Frac	Med	Maintain
337.36	5.438	Frac	Med	Probe
342.798	9.639	Frac	Med	Rest
352.437	4.463	Frac	High	Cue
356.9	10.046	Frac	High	Encode
366.946	10.048	Frac	High	Maintain
376.994	7.123	Frac	High	Probe
384.117	10.78	Frac	High	Rest
394.897	3.271	Num	High	Cue
398.168	10.043	Num	High	Encode
408.211	10.001	Num	High	Maintain
418.212	5.736	Num	High	Probe
423.948	10.889	Num	High	Rest
434.837	3.166	Pos	High	Cue
438.003	10.041	Pos	High	Encode
448.044	10.002	Pos	High	Maintain
458.046	3.81	Pos	High	Probe
461.856	10.824	Pos	High	Rest
472.68	3.361	Num	Low	Cue
476.041	10.04	Num	Low	Encode
486.081	10.048	Num	Low	Maintain
496.129	5.947	Num	Low	Probe
502.076	10.826	Num	Low	Rest
512.902	3.14	Pos	Med	Cue
516.042	10.04	Pos	Med	Encode
526.082	10.048	Pos	Med	Maintain
536.13	4.418	Pos	Med	Probe
540.548	10.826	Pos	Med	Rest
551.374	3.17	Frac	Med	Cue
554.544	10.024	Frac	Med	Encode
564.568	10.001	Frac	Med	Maintain
574.569	3.584	Frac	Med	Probe
578.153	10.839	Frac	Med	Rest
588.992	3.13	Num	Med	Cue
592.122	10.009	Num	Med	Encode
602.131	10.001	Num	Med	Maintain
612.132	6.981	Num	Med	Probe
619.113	10.88	Num	Med	Rest
629.993	3.13	Pos	Low	Cue
633.123	10.01	Pos	Low	Encode
643.133	10	Pos	Low	Maintain
653.133	2.546	Pos	Low	Probe
655.679	10.816	Pos	Low	Rest
666.495	3.21	Frac	Low	Cue
669.705	10.034	Frac	Low	Encode
679.739	10.062	Frac	Low	Maintain
689.801	3.139	Frac	Low	Probe
692.94	10	Frac	Low	Rest
