onset	duration	trial_type	load_type	processing_stage
1.117	3.117	Num	Med	Cue
4.234	10.01	Num	Med	Encode
14.244	10.002	Num	Med	Maintain
24.246	5.305	Num	Med	Probe
29.551	10.821	Num	Med	Rest
40.372	3.16	Pos	Low	Cue
43.532	10.002	Pos	Low	Encode
53.534	10.047	Pos	Low	Maintain
63.581	2.466	Pos	Low	Probe
66.047	10.826	Pos	Low	Rest
76.873	3.08	Pos	Med	Cue
79.953	10.01	Pos	Med	Encode
89.963	9.999	Pos	Med	Maintain
99.962	3.378	Pos	Med	Probe
103.34	10.866	Pos	Med	Rest
114.206	3.251	Pos	High	Cue
117.457	10.044	Pos	High	Encode
127.501	10.016	Pos	High	Maintain
137.517	5.194	Pos	High	Probe
142.711	10.826	Pos	High	Rest
153.537	4.243	Num	High	Cue
157.78	10.035	Num	High	Encode
167.815	10.001	Num	High	Maintain
177.816	7.668	Num	High	Probe
185.484	10.871	Num	High	Rest
196.355	3.08	Frac	Med	Cue
199.435	10.035	Frac	Med	Encode
209.47	10.001	Frac	Med	Maintain
219.471	4.069	Frac	Med	Probe
223.54	10.82	Frac	Med	Rest
234.36	3.2	Frac	Low	Cue
237.56	10.056	Frac	Low	Encode
247.616	10.001	Frac	Low	Maintain
257.617	3.22	Frac	Low	Probe
260.837	10.857	Frac	Low	Rest
271.694	3.081	Num	Low	Cue
274.775	10.009	Num	Low	Encode
284.784	10.001	Num	Low	Maintain
294.785	3.22	Num	Low	Probe
298.005	10.801	Num	Low	Rest
308.806	3.57	Frac	High	Cue
312.376	10.009	Frac	High	Encode
322.385	10.001	Frac	High	Maintain
332.386	5.313	Frac	High	Probe
337.699	9.59	Frac	High	Rest
347.289	3.172	Num	Low	Cue
350.461	10.006	Num	Low	Encode
360.467	10.031	Num	Low	Maintain
370.498	2.652	Num	Low	Probe
373.15	10.854	Num	Low	Rest
384.004	3.161	Num	Med	Cue
387.165	10.044	Num	Med	Encode
397.209	10.046	Num	Med	Maintain
407.255	7.918	Num	Med	Probe
415.173	10.819	Num	Med	Rest
425.992	3.14	Frac	Low	Cue
429.132	10.041	Frac	Low	Encode
439.173	10.048	Frac	Low	Maintain
449.221	2.909	Frac	Low	Probe
452.13	10.832	Frac	Low	Rest
462.962	3.08	Pos	Low	Cue
466.042	10.003	Pos	Low	Encode
476.045	10	Pos	Low	Maintain
486.045	2.201	Pos	Low	Probe
488.246	10.885	Pos	Low	Rest
499.131	5.954	Frac	High	Cue
505.085	10.029	Frac	High	Encode
515.114	10	Frac	High	Maintain
525.114	3.099	Frac	High	Probe
528.213	10.873	Frac	High	Rest
539.086	3.58	Num	High	Cue
542.666	10.009	Num	High	Encode
552.675	10.001	Num	High	Maintain
562.676	10.032	Num	High	Probe
572.708	10.822	Num	High	Rest
583.53	3.14	Pos	Med	Cue
586.67	10.024	Pos	Med	Encode
596.694	10.002	Pos	Med	Maintain
606.696	3.023	Pos	Med	Probe
609.719	10.81	Pos	Med	Rest
620.529	4.423	Pos	High	Cue
624.952	10.03	Pos	High	Encode
634.982	10.062	Pos	High	Maintain
645.044	2.454	Pos	High	Probe
647.498	10.733	Pos	High	Rest
658.231	3.17	Frac	Med	Cue
661.401	10.058	Frac	Med	Encode
671.459	10	Frac	Med	Maintain
681.459	4.69	Frac	Med	Probe
686.149	10	Frac	Med	Rest
