onset	duration	trial_type	load_type	processing_stage
1.062	3.22	Frac	Low	Cue
4.282	10.025	Frac	Low	Encode
14.307	10.016	Frac	Low	Maintain
24.323	3.776	Frac	Low	Probe
28.099	10.761	Frac	Low	Rest
38.86	3.171	Num	Low	Cue
42.031	10.006	Num	Low	Encode
52.037	10.031	Num	Low	Maintain
62.068	2.691	Num	Low	Probe
64.759	10.801	Num	Low	Rest
75.56	3.14	Pos	Med	Cue
78.7	10.041	Pos	Med	Encode
88.741	10.048	Pos	Med	Maintain
98.789	3.426	Pos	Med	Probe
102.215	10.846	Pos	Med	Rest
113.061	3.618	Frac	High	Cue
116.679	10.046	Frac	High	Encode
126.725	10.048	Frac	High	Maintain
136.773	2.974	Frac	High	Probe
139.747	10.883	Frac	High	Rest
150.63	3.22	Pos	Low	Cue
153.85	10.009	Pos	Low	Encode
163.859	10.001	Pos	Low	Maintain
173.86	1.571	Pos	Low	Probe
175.431	10.868	Pos	Low	Rest
186.299	4.484	Pos	High	Cue
190.783	10.01	Pos	High	Encode
200.793	10.001	Pos	High	Maintain
210.794	8.565	Pos	High	Probe
219.359	10.841	Pos	High	Rest
230.2	3.12	Num	Med	Cue
233.32	10.057	Num	Med	Encode
243.377	10.001	Num	Med	Maintain
253.378	4.447	Num	Med	Probe
257.825	10.887	Num	Med	Rest
268.712	3.191	Frac	Med	Cue
271.903	10.01	Frac	Med	Encode
281.913	10.048	Frac	Med	Maintain
291.961	3.671	Frac	Med	Probe
295.632	10.775	Frac	Med	Rest
306.407	3.61	Num	High	Cue
310.017	10.044	Num	High	Encode
320.061	10.002	Num	High	Maintain
330.063	7.524	Num	High	Probe
337.587	9.602	Num	High	Rest
347.189	3.112	Num	Med	Cue
350.301	10.01	Num	Med	Encode
360.311	10.002	Num	Med	Maintain
370.313	4.542	Num	Med	Probe
374.855	10.862	Num	Med	Rest
385.717	3.22	Pos	Med	Cue
388.937	10.009	Pos	Med	Encode
398.946	10	Pos	Med	Maintain
408.946	2.339	Pos	Med	Probe
411.285	10.768	Pos	Med	Rest
422.053	3.17	Num	Low	Cue
425.223	10.058	Num	Low	Encode
435.281	10	Num	Low	Maintain
445.281	3.08	Num	Low	Probe
448.361	10.824	Num	Low	Rest
459.185	4.714	Num	High	Cue
463.899	10.04	Num	High	Encode
473.939	10.031	Num	High	Maintain
483.97	5.16	Num	High	Probe
489.13	10.818	Num	High	Rest
499.948	3.341	Frac	Low	Cue
503.289	10.01	Frac	Low	Encode
513.299	10	Frac	Low	Maintain
523.299	3.607	Frac	Low	Probe
526.906	10.811	Frac	Low	Rest
537.717	3.111	Frac	High	Cue
540.828	10.044	Frac	High	Encode
550.872	10.047	Frac	High	Maintain
560.919	4.655	Frac	High	Probe
565.574	10.756	Frac	High	Rest
576.33	3.313	Pos	Low	Cue
579.643	10.042	Pos	Low	Encode
589.685	10.049	Pos	Low	Maintain
599.734	2.69	Pos	Low	Probe
602.424	10.833	Pos	Low	Rest
613.257	3.14	Frac	Med	Cue
616.397	10.039	Frac	Med	Encode
626.436	10.049	Frac	Med	Maintain
636.485	3.248	Frac	Med	Probe
639.733	10.775	Frac	Med	Rest
650.508	4.071	Pos	High	Cue
654.579	10.044	Pos	High	Encode
664.623	10.012	Pos	High	Maintain
674.635	4.441	Pos	High	Probe
679.076	10	Pos	High	Rest
